2026-09-14 03:20:52 | INFO     | run                  | ======================================================================
2026-09-14 03:41:24 | DEBUG    | parse_json           | Response preview: <table class="tbl" data-page-length="25"><thead class="tbl__head"><!-- tr--><!--   th(colspan="11")--><!--   th.center(colspan="2", style="width: 110px;") TOTAL BUY ORDERS--><!--   th.center(colspan="2", style="width: 110px;") TOTAL SELL ORDERS--><tr><th data-name="symbol">SYMBOL</th><th data-name="sector">SECTOR</th><th data-name="listed">LISTED IN</th><th class="right" data-name="ldcp">LDCP</th><th class="right" data-name="open">OPEN</th><th class="right" data-name="high">HIGH</th><th class="r
2026-09-14 03:41:24 | WARNING  | parse_json           | ⚠️ JSON parsing failed: Expecting value: line 1 column 1 (char 0)
2026-09-14 03:41:24 | INFO     | run                  | JSON parsing failed, trying HTML fallback...
2026-09-14 03:41:24 | INFO     | parse_html           | Attempting HTML fallback parsing...
2026-09-14 03:41:24 | DEBUG    | parse_html           | Found 1 table(s) in HTML
2026-09-14 03:41:24 | DEBUG    | parse_html           | Table columns: ['SYMBOL', 'SECTOR', 'LISTED IN', 'LDCP', 'OPEN', 'HIGH', 'LOW', 'CURRENT', 'CHANGE', 'CHANGE (%)', 'VOLUME']
2026-09-14 03:41:24 | DEBUG    | parse_html           | Table shape: (500, 11)
2026-09-14 03:41:24 | INFO     | parse_html           | ✅ HTML parsed successfully (500 rows)
2026-09-14 03:41:24 | INFO     | clean_data           | Cleaning data...
2026-09-14 03:41:24 | DEBUG    | clean_data           | Initial shape: (500, 11)
2026-09-14 03:41:24 | DEBUG    | clean_data           | Initial columns: ['SYMBOL', 'SECTOR', 'LISTED IN', 'LDCP', 'OPEN', 'HIGH', 'LOW', 'CURRENT', 'CHANGE', 'CHANGE (%)', 'VOLUME']
2026-09-14 03:41:24 | DEBUG    | clean_data           | Removed 'LISTED IN' column
2026-09-14 03:41:24 | DEBUG    | clean_data           | Converted LDCP from float64 to numeric
2026-09-14 03:41:24 | DEBUG    | clean_data           | Converted OPEN from float64 to numeric
2026-09-14 03:41:24 | DEBUG    | clean_data           | Converted HIGH from float64 to numeric
2026-09-14 03:41:24 | DEBUG    | clean_data           | Converted LOW from float64 to numeric
2026-09-14 03:41:24 | DEBUG    | clean_data           | Converted CURRENT from float64 to numeric
2026-09-14 03:41:24 | DEBUG    | clean_data           | Converted CHANGE from float64 to numeric
2026-09-14 03:41:24 | WARNING  | clean_data           | Column CHANGE (%): 500 values could not be converted to numeric
2026-09-14 03:41:24 | DEBUG    | clean_data           | Converted CHANGE (%) from str to numeric
2026-09-14 03:41:24 | DEBUG    | clean_data           | Converted VOLUME from int64 to numeric
2026-09-14 03:41:24 | INFO     | clean_data           | ✅ Data cleaned (500 rows, 16 columns)
2026-09-14 03:41:24 | DEBUG    | clean_data           | Final columns: ['SYMBOL', 'SECTOR', 'LDCP', 'OPEN', 'HIGH', 'LOW', 'CURRENT', 'CHANGE', 'CHANGE (%)', 'VOLUME', 'YEAR', 'MONTH', 'DAY', 'HOUR', 'MINUTE', 'DATETIME']
2026-09-14 03:41:24 | DEBUG    | get_file_path        | Generated file path: data/2026/09/2026-09-14.xlsx
2026-09-14 03:41:24 | INFO     | save_data            | Saving data to: data/2026/09/2026-09-14.xlsx
2026-09-14 03:41:24 | DEBUG    | _create_backup       | Backup created: data/2026/09/backups/2026-09-14_backup_20260914_034124.xlsx
2026-09-14 03:41:24 | DEBUG    | save_data            | Existing file found, merging data...
2026-09-14 03:41:24 | DEBUG    | save_data            | Loaded 2000 existing rows
2026-09-14 03:41:24 | DEBUG    | save_data            | Combined to 2500 rows
2026-09-14 03:41:24 | DEBUG    | save_data            | Writing to temporary file...
2026-09-14 03:41:25 | DEBUG    | save_data            | Data written to temp file: /home/runner/work/Thalorae-BackLioraen/Thalorae-BackLioraen/data/2026/09/tmplwx7xgfl.xlsx
2026-09-14 03:41:25 | DEBUG    | save_data            | Temp file moved to final location
2026-09-14 03:41:25 | INFO     | save_data            | ✅ Data saved successfully (2500 total rows, 192,077 bytes)
2026-09-14 03:41:25 | INFO     | run                  | ======================================================================
2026-09-14 03:41:25 | INFO     | run                  | 📊 EXECUTION SUMMARY:
2026-09-14 03:41:25 | INFO     | run                  |    ✅ Status: SUCCESS
2026-09-14 03:41:25 | INFO     | run                  |    - Rows processed: 500
2026-09-14 03:41:25 | INFO     | run                  |    - Unique symbols: 500
2026-09-14 03:41:25 | INFO     | run                  |    - Timestamp: 2026-09-14 08:41:19
2026-09-14 03:41:25 | INFO     | run                  |    - File: data/2026/09/2026-09-14.xlsx
2026-09-14 03:41:25 | INFO     | run                  | ======================================================================
2026-09-14 03:41:25 | DEBUG    | run                  | Sample data (first row):
2026-09-14 03:41:25 | DEBUG    | run                  | {'SYMBOL': 'CNERGY', 'SECTOR': 825, 'LDCP': 12.93, 'OPEN': 12.21, 'HIGH': 13.05, 'LOW': 11.86, 'CURRENT': 12.93, 'CHANGE': 0.56, 'CHANGE (%)': nan, 'VOLUME': 104274125, 'YEAR': 2026, 'MONTH': 9, 'DAY': 14, 'HOUR': 8, 'MINUTE': 41, 'DATETIME': '2026-09-14 08:41'}
2026-09-14 03:41:25 | DEBUG    | close                | Session closed
2026-09-14 03:46:25 | INFO     | run                  | ======================================================================
2026-09-14 03:46:25 | INFO     | run                  | 🚀 MARKET DATA SCRAPER - SINGLE EXECUTION
2026-09-14 03:46:25 | INFO     | run                  | ======================================================================
2026-09-14 03:46:25 | INFO     | run                  | Execution Time: 2026-09-14 08:46:25 PKT
2026-09-14 03:46:25 | INFO     | run                  | Configuration:
2026-09-14 03:46:25 | INFO     | run                  |    - Timezone: Asia/Karachi
2026-09-14 03:46:25 | INFO     | run                  |    - Data directory: data
2026-09-14 03:46:25 | INFO     | run                  |    - Log directory: logs
2026-09-14 03:46:25 | INFO     | run                  |    - Excluded symbols: {'XD', 'XS', 'XR', 'XT'}
2026-09-14 03:46:25 | INFO     | run                  | ======================================================================
2026-09-14 03:46:25 | INFO     | fetch_data           | Fetching data (Attempt 1/3)...
2026-09-14 03:46:25 | DEBUG    | fetch_data           | Establishing session with https://dps.psx.com.pk/
2026-09-14 03:46:28 | DEBUG    | fetch_data           | Requesting data from https://dps.psx.com.pk/market-watch
2026-09-14 03:46:30 | DEBUG    | fetch_data           | Response status: 200
2026-09-14 03:46:30 | DEBUG    | fetch_data           | Response content type: text/html; charset=utf-8
2026-09-14 03:46:30 | DEBUG    | fetch_data           | Response size: 478949 bytes
2026-09-14 03:46:30 | INFO     | fetch_data           | ✅ Data fetched successfully (Status: 200)
2026-09-14 03:46:30 | DEBUG    | parse_json           | Attempting JSON parsing...
2026-09-14 03:46:30 | DEBUG    | parse_json           | Response preview: <table class="tbl" data-page-length="25"><thead class="tbl__head"><!-- tr--><!--   th(colspan="11")--><!--   th.center(colspan="2", style="width: 110px;") TOTAL BUY ORDERS--><!--   th.center(colspan="2", style="width: 110px;") TOTAL SELL ORDERS--><tr><th data-name="symbol">SYMBOL</th><th data-name="sector">SECTOR</th><th data-name="listed">LISTED IN</th><th class="right" data-name="ldcp">LDCP</th><th class="right" data-name="open">OPEN</th><th class="right" data-name="high">HIGH</th><th class="r
2026-09-14 03:46:30 | WARNING  | parse_json           | ⚠️ JSON parsing failed: Expecting value: line 1 column 1 (char 0)
2026-09-14 03:46:30 | INFO     | run                  | JSON parsing failed, trying HTML fallback...
2026-09-14 03:46:30 | INFO     | parse_html           | Attempting HTML fallback parsing...
2026-09-14 03:46:30 | DEBUG    | parse_html           | Found 1 table(s) in HTML
2026-09-14 03:46:30 | DEBUG    | parse_html           | Table columns: ['SYMBOL', 'SECTOR', 'LISTED IN', 'LDCP', 'OPEN', 'HIGH', 'LOW', 'CURRENT', 'CHANGE', 'CHANGE (%)', 'VOLUME']
2026-09-14 03:46:30 | DEBUG    | parse_html           | Table shape: (500, 11)
2026-09-14 03:46:30 | INFO     | parse_html           | ✅ HTML parsed successfully (500 rows)
2026-09-14 03:46:30 | INFO     | clean_data           | Cleaning data...
2026-09-14 03:46:30 | DEBUG    | clean_data           | Initial shape: (500, 11)
2026-09-14 03:46:30 | DEBUG    | clean_data           | Initial columns: ['SYMBOL', 'SECTOR', 'LISTED IN', 'LDCP', 'OPEN', 'HIGH', 'LOW', 'CURRENT', 'CHANGE', 'CHANGE (%)', 'VOLUME']
2026-09-14 03:46:30 | DEBUG    | clean_data           | Removed 'LISTED IN' column
2026-09-14 03:46:30 | DEBUG    | clean_data           | Converted LDCP from float64 to numeric
2026-09-14 03:46:30 | DEBUG    | clean_data           | Converted OPEN from float64 to numeric
2026-09-14 03:46:30 | DEBUG    | clean_data           | Converted HIGH from float64 to numeric
2026-09-14 03:46:30 | DEBUG    | clean_data           | Converted LOW from float64 to numeric
2026-09-14 03:46:30 | DEBUG    | clean_data           | Converted CURRENT from float64 to numeric
2026-09-14 03:46:30 | DEBUG    | clean_data           | Converted CHANGE from float64 to numeric
2026-09-14 03:46:30 | WARNING  | clean_data           | Column CHANGE (%): 500 values could not be converted to numeric
2026-09-14 03:46:30 | DEBUG    | clean_data           | Converted CHANGE (%) from str to numeric
2026-09-14 03:46:30 | DEBUG    | clean_data           | Converted VOLUME from int64 to numeric
2026-09-14 03:46:30 | INFO     | clean_data           | ✅ Data cleaned (500 rows, 16 columns)
2026-09-14 03:46:30 | DEBUG    | clean_data           | Final columns: ['SYMBOL', 'SECTOR', 'LDCP', 'OPEN', 'HIGH', 'LOW', 'CURRENT', 'CHANGE', 'CHANGE (%)', 'VOLUME', 'YEAR', 'MONTH', 'DAY', 'HOUR', 'MINUTE', 'DATETIME']
2026-09-14 03:46:30 | DEBUG    | get_file_path        | Generated file path: data/2026/09/2026-09-14.xlsx
2026-09-14 03:46:30 | INFO     | save_data            | Saving data to: data/2026/09/2026-09-14.xlsx
2026-09-14 03:46:30 | DEBUG    | _create_backup       | Backup created: data/2026/09/backups/2026-09-14_backup_20260914_034630.xlsx
2026-09-14 03:46:30 | DEBUG    | save_data            | Existing file found, merging data...
2026-09-14 03:46:30 | DEBUG    | save_data            | Loaded 2500 existing rows
2026-09-14 03:46:30 | DEBUG    | save_data            | Combined to 3000 rows
2026-09-14 03:46:30 | DEBUG    | save_data            | Writing to temporary file...
2026-09-14 03:46:31 | DEBUG    | save_data            | Data written to temp file: /home/runner/work/Thalorae-BackLioraen/Thalorae-BackLioraen/data/2026/09/tmpo95azrpf.xlsx
2026-09-14 03:46:31 | DEBUG    | save_data            | Temp file moved to final location
2026-09-14 03:46:31 | INFO     | save_data            | ✅ Data saved successfully (3000 total rows, 229,413 bytes)
2026-09-14 03:46:31 | INFO     | run                  | ======================================================================
2026-09-14 03:46:31 | INFO     | run                  | 📊 EXECUTION SUMMARY:
2026-09-14 03:46:31 | INFO     | run                  |    ✅ Status: SUCCESS
2026-09-14 03:46:31 | INFO     | run                  |    - Rows processed: 500
2026-09-14 03:46:31 | INFO     | run                  |    - Unique symbols: 500
2026-09-14 03:46:31 | INFO     | run                  |    - Timestamp: 2026-09-14 08:46:25
2026-09-14 03:46:31 | INFO     | run                  |    - File: data/2026/09/2026-09-14.xlsx
2026-09-14 03:46:31 | INFO     | run                  | ======================================================================
2026-09-14 03:46:31 | DEBUG    | run                  | Sample data (first row):
2026-09-14 03:46:31 | DEBUG    | run                  | {'SYMBOL': 'CNERGY', 'SECTOR': 825, 'LDCP': 12.93, 'OPEN': 12.21, 'HIGH': 13.05, 'LOW': 11.86, 'CURRENT': 12.93, 'CHANGE': 0.56, 'CHANGE (%)': nan, 'VOLUME': 104274125, 'YEAR': 2026, 'MONTH': 9, 'DAY': 14, 'HOUR': 8, 'MINUTE': 46, 'DATETIME': '2026-09-14 08:46'}
2026-09-14 03:46:31 | DEBUG    | close                | Session closed
2026-09-14 03:51:31 | INFO     | run                  | ======================================================================
2026-09-14 03:51:31 | INFO     | run                  | 🚀 MARKET DATA SCRAPER - SINGLE EXECUTION
2026-09-14 03:51:31 | INFO     | run                  | ======================================================================
2026-09-14 03:51:31 | INFO     | run                  | Execution Time: 2026-09-14 08:51:31 PKT
2026-09-14 03:51:31 | INFO     | run                  | Configuration:
2026-09-14 03:51:31 | INFO     | run                  |    - Timezone: Asia/Karachi
2026-09-14 03:51:31 | INFO     | run                  |    - Data directory: data
2026-09-14 03:51:31 | INFO     | run                  |    - Log directory: logs
2026-09-14 03:51:31 | INFO     | run                  |    - Excluded symbols: {'XD', 'XT', 'XR', 'XS'}
2026-09-14 03:51:31 | INFO     | run                  | ======================================================================
2026-09-14 03:51:31 | INFO     | fetch_data           | Fetching data (Attempt 1/3)...
2026-09-14 03:51:31 | DEBUG    | fetch_data           | Establishing session with https://dps.psx.com.pk/
2026-09-14 03:51:35 | DEBUG    | fetch_data           | Requesting data from https://dps.psx.com.pk/market-watch
2026-09-14 03:51:36 | DEBUG    | fetch_data           | Response status: 200
2026-09-14 03:51:36 | DEBUG    | fetch_data           | Response content type: text/html; charset=utf-8
2026-09-14 03:51:36 | DEBUG    | fetch_data           | Response size: 478947 bytes
2026-09-14 03:51:36 | INFO     | fetch_data           | ✅ Data fetched successfully (Status: 200)
2026-09-14 03:51:36 | DEBUG    | parse_json           | Attempting JSON parsing...
2026-09-14 03:51:36 | DEBUG    | parse_json           | Response preview: <table class="tbl" data-page-length="25"><thead class="tbl__head"><!-- tr--><!--   th(colspan="11")--><!--   th.center(colspan="2", style="width: 110px;") TOTAL BUY ORDERS--><!--   th.center(colspan="2", style="width: 110px;") TOTAL SELL ORDERS--><tr><th data-name="symbol">SYMBOL</th><th data-name="sector">SECTOR</th><th data-name="listed">LISTED IN</th><th class="right" data-name="ldcp">LDCP</th><th class="right" data-name="open">OPEN</th><th class="right" data-name="high">HIGH</th><th class="r
2026-09-14 03:51:36 | WARNING  | parse_json           | ⚠️ JSON parsing failed: Expecting value: line 1 column 1 (char 0)
2026-09-14 03:51:36 | INFO     | run                  | JSON parsing failed, trying HTML fallback...
2026-09-14 03:51:36 | INFO     | parse_html           | Attempting HTML fallback parsing...
2026-09-14 03:51:36 | DEBUG    | parse_html           | Found 1 table(s) in HTML
2026-09-14 03:51:36 | DEBUG    | parse_html           | Table columns: ['SYMBOL', 'SECTOR', 'LISTED IN', 'LDCP', 'OPEN', 'HIGH', 'LOW', 'CURRENT', 'CHANGE', 'CHANGE (%)', 'VOLUME']
2026-09-14 03:51:36 | DEBUG    | parse_html           | Table shape: (500, 11)
2026-09-14 03:51:36 | INFO     | parse_html           | ✅ HTML parsed successfully (500 rows)
2026-09-14 03:51:36 | INFO     | clean_data           | Cleaning data...
2026-09-14 03:51:36 | DEBUG    | clean_data           | Initial shape: (500, 11)
2026-09-14 03:51:36 | DEBUG    | clean_data           | Initial columns: ['SYMBOL', 'SECTOR', 'LISTED IN', 'LDCP', 'OPEN', 'HIGH', 'LOW', 'CURRENT', 'CHANGE', 'CHANGE (%)', 'VOLUME']
