2026-06-22 02:15:03 | INFO     | run                  | ======================================================================
2026-06-22 02:35:32 | DEBUG    | clean_data           | Converted HIGH from float64 to numeric
2026-06-22 02:35:32 | DEBUG    | clean_data           | Converted LOW from float64 to numeric
2026-06-22 02:35:32 | DEBUG    | clean_data           | Converted CURRENT from float64 to numeric
2026-06-22 02:35:32 | DEBUG    | clean_data           | Converted CHANGE from float64 to numeric
2026-06-22 02:35:32 | DEBUG    | clean_data           | Converted CHANGE (%) from str to numeric
2026-06-22 02:35:32 | DEBUG    | clean_data           | Converted VOLUME from int64 to numeric
2026-06-22 02:35:32 | INFO     | clean_data           | ✅ Data cleaned (497 rows, 16 columns)
2026-06-22 02:35:32 | DEBUG    | clean_data           | Final columns: ['SYMBOL', 'SECTOR', 'LDCP', 'OPEN', 'HIGH', 'LOW', 'CURRENT', 'CHANGE', 'CHANGE (%)', 'VOLUME', 'YEAR', 'MONTH', 'DAY', 'HOUR', 'MINUTE', 'DATETIME']
2026-06-22 02:35:32 | DEBUG    | get_file_path        | Generated file path: data/2026/06/2026-06-22.xlsx
2026-06-22 02:35:32 | INFO     | save_data            | Saving data to: data/2026/06/2026-06-22.xlsx
2026-06-22 02:35:32 | DEBUG    | save_data            | Existing file found, merging data...
2026-06-22 02:35:32 | DEBUG    | save_data            | Loaded 1988 existing rows
2026-06-22 02:35:32 | DEBUG    | save_data            | Combined to 2485 rows
2026-06-22 02:35:32 | DEBUG    | save_data            | Writing to temporary file...
2026-06-22 02:35:32 | DEBUG    | save_data            | Data written to temp file: /home/runner/work/Thalorae-BackLioraen/Thalorae-BackLioraen/data/2026/06/tmpx7p262kq.xlsx
2026-06-22 02:35:32 | DEBUG    | save_data            | Temp file moved to final location
2026-06-22 02:35:32 | INFO     | save_data            | ✅ Data saved successfully (2485 total rows, 191274 bytes)
2026-06-22 02:35:32 | INFO     | run                  | ======================================================================
2026-06-22 02:35:32 | INFO     | run                  | 📊 EXECUTION SUMMARY:
2026-06-22 02:35:32 | INFO     | run                  |    ✅ Status: SUCCESS
2026-06-22 02:35:32 | INFO     | run                  |    - Rows processed: 497
2026-06-22 02:35:32 | INFO     | run                  |    - Unique symbols: 497
2026-06-22 02:35:32 | INFO     | run                  |    - Timestamp: 2026-06-22 07:35:25
2026-06-22 02:35:32 | INFO     | run                  |    - File: data/2026/06/2026-06-22.xlsx
2026-06-22 02:35:32 | INFO     | run                  | ======================================================================
2026-06-22 02:35:32 | DEBUG    | run                  | Sample data (first row):
2026-06-22 02:35:32 | DEBUG    | run                  | {'SYMBOL': 'SSGC', 'SECTOR': 821, 'LDCP': 31.32, 'OPEN': 30.7, 'HIGH': 32.35, 'LOW': 30.3, 'CURRENT': 31.32, 'CHANGE': 0.69, 'CHANGE (%)': nan, 'VOLUME': 87347852, 'YEAR': 2026, 'MONTH': 6, 'DAY': 22, 'HOUR': 7, 'MINUTE': 35, 'DATETIME': '2026-06-22 07:35'}
2026-06-22 02:40:33 | INFO     | run                  | ======================================================================
2026-06-22 02:40:33 | INFO     | run                  | 🚀 MARKET DATA SCRAPER - SINGLE EXECUTION
2026-06-22 02:40:33 | INFO     | run                  | ======================================================================
2026-06-22 02:40:33 | INFO     | run                  | Execution Time: 2026-06-22 07:40:33 PKT
2026-06-22 02:40:33 | INFO     | run                  | Configuration:
2026-06-22 02:40:33 | INFO     | run                  |    - Timezone: Asia/Karachi
2026-06-22 02:40:33 | INFO     | run                  |    - Data directory: data
2026-06-22 02:40:33 | INFO     | run                  |    - Log directory: logs
2026-06-22 02:40:33 | INFO     | run                  | ======================================================================
2026-06-22 02:40:33 | INFO     | fetch_data           | Fetching data (Attempt 1/3)...
2026-06-22 02:40:33 | DEBUG    | fetch_data           | Establishing session with https://dps.psx.com.pk/
2026-06-22 02:40:37 | DEBUG    | fetch_data           | Requesting data from https://dps.psx.com.pk/market-watch
2026-06-22 02:40:39 | DEBUG    | fetch_data           | Response status: 200
2026-06-22 02:40:39 | DEBUG    | fetch_data           | Response content type: text/html; charset=utf-8
2026-06-22 02:40:39 | DEBUG    | fetch_data           | Response size: 477453 bytes
2026-06-22 02:40:39 | INFO     | fetch_data           | ✅ Data fetched successfully (Status: 200)
2026-06-22 02:40:39 | DEBUG    | parse_json           | Attempting JSON parsing...
2026-06-22 02:40:39 | DEBUG    | parse_json           | Response preview: <table class="tbl" data-page-length="25"><thead class="tbl__head"><!-- tr--><!--   th(colspan="11")--><!--   th.center(colspan="2", style="width: 110px;") TOTAL BUY ORDERS--><!--   th.center(colspan="2", style="width: 110px;") TOTAL SELL ORDERS--><tr><th data-name="symbol">SYMBOL</th><th data-name="sector">SECTOR</th><th data-name="listed">LISTED IN</th><th class="right" data-name="ldcp">LDCP</th><th class="right" data-name="open">OPEN</th><th class="right" data-name="high">HIGH</th><th class="r
2026-06-22 02:40:39 | WARNING  | parse_json           | ⚠️ JSON parsing failed: Expecting value: line 1 column 1 (char 0)
2026-06-22 02:40:39 | INFO     | run                  | JSON parsing failed, trying HTML fallback...
2026-06-22 02:40:39 | INFO     | parse_html           | Attempting HTML fallback parsing...
2026-06-22 02:40:39 | DEBUG    | parse_html           | Found 1 table(s) in HTML
2026-06-22 02:40:39 | DEBUG    | parse_html           | Table columns: ['SYMBOL', 'SECTOR', 'LISTED IN', 'LDCP', 'OPEN', 'HIGH', 'LOW', 'CURRENT', 'CHANGE', 'CHANGE (%)', 'VOLUME']
2026-06-22 02:40:39 | DEBUG    | parse_html           | Table shape: (497, 11)
2026-06-22 02:40:39 | INFO     | parse_html           | ✅ HTML parsed successfully (497 rows)
2026-06-22 02:40:39 | INFO     | clean_data           | Cleaning data...
2026-06-22 02:40:39 | DEBUG    | clean_data           | Initial shape: (497, 11)
2026-06-22 02:40:39 | DEBUG    | clean_data           | Initial columns: ['SYMBOL', 'SECTOR', 'LISTED IN', 'LDCP', 'OPEN', 'HIGH', 'LOW', 'CURRENT', 'CHANGE', 'CHANGE (%)', 'VOLUME']
2026-06-22 02:40:39 | DEBUG    | clean_data           | Removed 'LISTED IN' column
2026-06-22 02:40:39 | DEBUG    | clean_data           | Converted LDCP from float64 to numeric
2026-06-22 02:40:39 | DEBUG    | clean_data           | Converted OPEN from float64 to numeric
2026-06-22 02:40:39 | DEBUG    | clean_data           | Converted HIGH from float64 to numeric
2026-06-22 02:40:39 | DEBUG    | clean_data           | Converted LOW from float64 to numeric
2026-06-22 02:40:39 | DEBUG    | clean_data           | Converted CURRENT from float64 to numeric
2026-06-22 02:40:39 | DEBUG    | clean_data           | Converted CHANGE from float64 to numeric
2026-06-22 02:40:39 | DEBUG    | clean_data           | Converted CHANGE (%) from str to numeric
2026-06-22 02:40:39 | DEBUG    | clean_data           | Converted VOLUME from int64 to numeric
2026-06-22 02:40:39 | INFO     | clean_data           | ✅ Data cleaned (497 rows, 16 columns)
2026-06-22 02:40:39 | DEBUG    | clean_data           | Final columns: ['SYMBOL', 'SECTOR', 'LDCP', 'OPEN', 'HIGH', 'LOW', 'CURRENT', 'CHANGE', 'CHANGE (%)', 'VOLUME', 'YEAR', 'MONTH', 'DAY', 'HOUR', 'MINUTE', 'DATETIME']
2026-06-22 02:40:39 | DEBUG    | get_file_path        | Generated file path: data/2026/06/2026-06-22.xlsx
2026-06-22 02:40:39 | INFO     | save_data            | Saving data to: data/2026/06/2026-06-22.xlsx
2026-06-22 02:40:39 | DEBUG    | save_data            | Existing file found, merging data...
2026-06-22 02:40:39 | DEBUG    | save_data            | Loaded 2485 existing rows
2026-06-22 02:40:39 | DEBUG    | save_data            | Combined to 2982 rows
2026-06-22 02:40:39 | DEBUG    | save_data            | Writing to temporary file...
2026-06-22 02:40:39 | DEBUG    | save_data            | Data written to temp file: /home/runner/work/Thalorae-BackLioraen/Thalorae-BackLioraen/data/2026/06/tmp0j8_iqld.xlsx
2026-06-22 02:40:39 | DEBUG    | save_data            | Temp file moved to final location
2026-06-22 02:40:39 | INFO     | save_data            | ✅ Data saved successfully (2982 total rows, 228465 bytes)
2026-06-22 02:40:39 | INFO     | run                  | ======================================================================
2026-06-22 02:40:39 | INFO     | run                  | 📊 EXECUTION SUMMARY:
2026-06-22 02:40:39 | INFO     | run                  |    ✅ Status: SUCCESS
2026-06-22 02:40:39 | INFO     | run                  |    - Rows processed: 497
2026-06-22 02:40:39 | INFO     | run                  |    - Unique symbols: 497
2026-06-22 02:40:39 | INFO     | run                  |    - Timestamp: 2026-06-22 07:40:33
2026-06-22 02:40:39 | INFO     | run                  |    - File: data/2026/06/2026-06-22.xlsx
2026-06-22 02:40:39 | INFO     | run                  | ======================================================================
2026-06-22 02:40:39 | DEBUG    | run                  | Sample data (first row):
2026-06-22 02:40:39 | DEBUG    | run                  | {'SYMBOL': 'SSGC', 'SECTOR': 821, 'LDCP': 31.32, 'OPEN': 30.7, 'HIGH': 32.35, 'LOW': 30.3, 'CURRENT': 31.32, 'CHANGE': 0.69, 'CHANGE (%)': nan, 'VOLUME': 87347852, 'YEAR': 2026, 'MONTH': 6, 'DAY': 22, 'HOUR': 7, 'MINUTE': 40, 'DATETIME': '2026-06-22 07:40'}
2026-06-22 02:45:40 | INFO     | run                  | ======================================================================
2026-06-22 02:45:40 | INFO     | run                  | 🚀 MARKET DATA SCRAPER - SINGLE EXECUTION
2026-06-22 02:45:40 | INFO     | run                  | ======================================================================
2026-06-22 02:45:40 | INFO     | run                  | Execution Time: 2026-06-22 07:45:40 PKT
2026-06-22 02:45:40 | INFO     | run                  | Configuration:
2026-06-22 02:45:40 | INFO     | run                  |    - Timezone: Asia/Karachi
2026-06-22 02:45:40 | INFO     | run                  |    - Data directory: data
2026-06-22 02:45:40 | INFO     | run                  |    - Log directory: logs
2026-06-22 02:45:40 | INFO     | run                  | ======================================================================
2026-06-22 02:45:40 | INFO     | fetch_data           | Fetching data (Attempt 1/3)...
2026-06-22 02:45:40 | DEBUG    | fetch_data           | Establishing session with https://dps.psx.com.pk/
2026-06-22 02:45:44 | DEBUG    | fetch_data           | Requesting data from https://dps.psx.com.pk/market-watch
2026-06-22 02:45:46 | DEBUG    | fetch_data           | Response status: 200
2026-06-22 02:45:46 | DEBUG    | fetch_data           | Response content type: text/html; charset=utf-8
2026-06-22 02:45:46 | DEBUG    | fetch_data           | Response size: 477453 bytes
2026-06-22 02:45:46 | INFO     | fetch_data           | ✅ Data fetched successfully (Status: 200)
2026-06-22 02:45:46 | DEBUG    | parse_json           | Attempting JSON parsing...
2026-06-22 02:45:46 | DEBUG    | parse_json           | Response preview: <table class="tbl" data-page-length="25"><thead class="tbl__head"><!-- tr--><!--   th(colspan="11")--><!--   th.center(colspan="2", style="width: 110px;") TOTAL BUY ORDERS--><!--   th.center(colspan="2", style="width: 110px;") TOTAL SELL ORDERS--><tr><th data-name="symbol">SYMBOL</th><th data-name="sector">SECTOR</th><th data-name="listed">LISTED IN</th><th class="right" data-name="ldcp">LDCP</th><th class="right" data-name="open">OPEN</th><th class="right" data-name="high">HIGH</th><th class="r
2026-06-22 02:45:46 | WARNING  | parse_json           | ⚠️ JSON parsing failed: Expecting value: line 1 column 1 (char 0)
2026-06-22 02:45:46 | INFO     | run                  | JSON parsing failed, trying HTML fallback...
2026-06-22 02:45:46 | INFO     | parse_html           | Attempting HTML fallback parsing...
2026-06-22 02:45:46 | DEBUG    | parse_html           | Found 1 table(s) in HTML
2026-06-22 02:45:46 | DEBUG    | parse_html           | Table columns: ['SYMBOL', 'SECTOR', 'LISTED IN', 'LDCP', 'OPEN', 'HIGH', 'LOW', 'CURRENT', 'CHANGE', 'CHANGE (%)', 'VOLUME']
2026-06-22 02:45:46 | DEBUG    | parse_html           | Table shape: (497, 11)
2026-06-22 02:45:46 | INFO     | parse_html           | ✅ HTML parsed successfully (497 rows)
2026-06-22 02:45:46 | INFO     | clean_data           | Cleaning data...
2026-06-22 02:45:46 | DEBUG    | clean_data           | Initial shape: (497, 11)
2026-06-22 02:45:46 | DEBUG    | clean_data           | Initial columns: ['SYMBOL', 'SECTOR', 'LISTED IN', 'LDCP', 'OPEN', 'HIGH', 'LOW', 'CURRENT', 'CHANGE', 'CHANGE (%)', 'VOLUME']
2026-06-22 02:45:46 | DEBUG    | clean_data           | Removed 'LISTED IN' column
2026-06-22 02:45:46 | DEBUG    | clean_data           | Converted LDCP from float64 to numeric
2026-06-22 02:45:46 | DEBUG    | clean_data           | Converted OPEN from float64 to numeric
2026-06-22 02:45:46 | DEBUG    | clean_data           | Converted HIGH from float64 to numeric
2026-06-22 02:45:46 | DEBUG    | clean_data           | Converted LOW from float64 to numeric
2026-06-22 02:45:46 | DEBUG    | clean_data           | Converted CURRENT from float64 to numeric
2026-06-22 02:45:46 | DEBUG    | clean_data           | Converted CHANGE from float64 to numeric
2026-06-22 02:45:46 | DEBUG    | clean_data           | Converted CHANGE (%) from str to numeric
2026-06-22 02:45:46 | DEBUG    | clean_data           | Converted VOLUME from int64 to numeric
2026-06-22 02:45:46 | INFO     | clean_data           | ✅ Data cleaned (497 rows, 16 columns)
2026-06-22 02:45:46 | DEBUG    | clean_data           | Final columns: ['SYMBOL', 'SECTOR', 'LDCP', 'OPEN', 'HIGH', 'LOW', 'CURRENT', 'CHANGE', 'CHANGE (%)', 'VOLUME', 'YEAR', 'MONTH', 'DAY', 'HOUR', 'MINUTE', 'DATETIME']
2026-06-22 02:45:46 | DEBUG    | get_file_path        | Generated file path: data/2026/06/2026-06-22.xlsx
2026-06-22 02:45:46 | INFO     | save_data            | Saving data to: data/2026/06/2026-06-22.xlsx
2026-06-22 02:45:46 | DEBUG    | save_data            | Existing file found, merging data...
2026-06-22 02:45:46 | DEBUG    | save_data            | Loaded 2982 existing rows
2026-06-22 02:45:46 | DEBUG    | save_data            | Combined to 3479 rows
2026-06-22 02:45:46 | DEBUG    | save_data            | Writing to temporary file...
2026-06-22 02:45:47 | DEBUG    | save_data            | Data written to temp file: /home/runner/work/Thalorae-BackLioraen/Thalorae-BackLioraen/data/2026/06/tmpamzi_qaj.xlsx
2026-06-22 02:45:47 | DEBUG    | save_data            | Temp file moved to final location
2026-06-22 02:45:47 | INFO     | save_data            | ✅ Data saved successfully (3479 total rows, 265666 bytes)
2026-06-22 02:45:47 | INFO     | run                  | ======================================================================
2026-06-22 02:45:47 | INFO     | run                  | 📊 EXECUTION SUMMARY:
2026-06-22 02:45:47 | INFO     | run                  |    ✅ Status: SUCCESS
2026-06-22 02:45:47 | INFO     | run                  |    - Rows processed: 497
2026-06-22 02:45:47 | INFO     | run                  |    - Unique symbols: 497
2026-06-22 02:45:47 | INFO     | run                  |    - Timestamp: 2026-06-22 07:45:40
